qid,docid,docno,rank,score,query
23849,2647769,2647769,1,0.994704,are naturalization records public information
23849,8010561,8010561,2,0.987884,are naturalization records public information
23849,8059826,8059826,3,0.894415,are naturalization records public information
23849,6667419,6667419,4,0.87756,are naturalization records public information
23849,7119957,7119957,5,0.844282,are naturalization records public information
23849,4834498,4834498,6,0.374849,are naturalization records public information
23849,8466742,8466742,7,0.336968,are naturalization records public information
23849,2445679,2445679,8,0.327041,are naturalization records public information
23849,2199040,2199040,9,0.294141,are naturalization records public information
23849,892160,892160,10,0.281698,are naturalization records public information
23849,2017213,2017213,11,0.220416,are naturalization records public information
23849,7311198,7311198,12,0.184458,are naturalization records public information
23849,5925321,5925321,13,0.156075,are naturalization records public information
23849,4482145,4482145,14,0.100742,are naturalization records public information
23849,4438759,4438759,15,0.0965589,are naturalization records public information
23849,188246,188246,16,0.0890023,are naturalization records public information
23849,5885925,5885925,17,0.0887135,are naturalization records public information
23849,314300,314300,18,0.0836712,are naturalization records public information
23849,653142,653142,19,0.0547807,are naturalization records public information
23849,1333480,1333480,20,0.0414284,are naturalization records public information
23849,4438766,4438766,21,0.0407405,are naturalization records public information
23849,6440050,6440050,22,0.0264459,are naturalization records public information
23849,2674124,2674124,23,0.022216,are naturalization records public information
23849,799642,799642,24,0.0169044,are naturalization records public information
23849,178252,178252,25,0.0146275,are naturalization records public information
23849,4281697,4281697,26,0.0144338,are naturalization records public information
23849,1381453,1381453,27,0.00717422,are naturalization records public information
23849,7431268,7431268,28,0.00692769,are naturalization records public information
23849,7593919,7593919,29,0.0066235,are naturalization records public information
23849,2132534,2132534,30,0.00498855,are naturalization records public information
23849,8752783,8752783,31,0.00472754,are naturalization records public information
23849,3829885,3829885,32,0.00379763,are naturalization records public information
23849,807344,807344,33,0.00376123,are naturalization records public information
23849,2132735,2132735,34,0.0037517,are naturalization records public information
23849,436721,436721,35,0.0036802,are naturalization records public information
23849,8466744,8466744,36,0.00348841,are naturalization records public information
23849,542113,542113,37,0.00344285,are naturalization records public information
23849,7160298,7160298,38,0.00339951,are naturalization records public information
23849,8246990,8246990,39,0.0021961,are naturalization records public information
23849,240415,240415,40,0.00132662,are naturalization records public information
23849,1304846,1304846,41,0.000880864,are naturalization records public information
23849,2540071,2540071,42,0.000328006,are naturalization records public information
23849,8668783,8668783,43,0.000312352,are naturalization records public information
